date, value
2009/11/20,1142.5
2009/11/23,1166
2009/11/24,1170.25
2009/11/25,1176.5
2009/11/26,1183
2009/11/27,1164.5
2009/11/30,1172
2009/12/1,1193.5
2009/12/2,1211.5
2009/12/3,1218.25
2009/12/4,1203.25
2009/12/7,1147.5
2009/12/8,1164.25
2009/12/9,1142.25
2009/12/10,1125.75
2009/12/11,1140
2009/12/14,1120
2009/12/15,1115
2009/12/16,1134
2009/12/17,1121.5
2009/12/18,1106.5
2009/12/21,1113.25
2009/12/22,1094.25
2009/12/23,1080.5
2009/12/24,1104.5
2009/12/29,1103
2009/12/30,1092.5
2009/12/31,1104
2010/1/4,1113
2010/1/5,1125.25
2010/1/6,1125
2010/1/7,1130.75
2010/1/8,1121.75
2010/1/11,1158
2010/1/12,1152.75
2010/1/13,1132.75
2010/1/14,1137.5
2010/1/15,1132
2010/1/18,1135.75
2010/1/19,1134
2010/1/20,1129
2010/1/21,1104
2010/1/22,1096.5
2010/1/25,1103.5
2010/1/26,1090.75
2010/1/27,1094.75
2010/1/28,1091.75
2010/1/29,1082.75
2010/2/1,1082
2010/2/2,1114
2010/2/3,1118.5
2010/2/4,1102.5
2010/2/5,1052.25
2010/2/8,1070
2010/2/9,1068
2010/2/10,1075.5
2010/2/11,1079.5
2010/2/12,1078.25
2010/2/15,1099.5
2010/2/16,1115.25
2010/2/17,1118.25
2010/2/18,1105.5
2010/2/19,1107
2010/2/22,1119.75
2010/2/23,1112
2010/2/24,1093
2010/2/25,1092.75
2010/2/26,1112.5
2010/3/1,1117.25
2010/3/2,1116
2010/3/3,1136.25
2010/3/4,1136.25
2010/3/5,1135
2010/3/8,1134
2010/3/9,1120
2010/3/10,1124.5
2010/3/11,1106
2010/3/12,1118.75
2010/3/15,1104
2010/3/16,1113.25
2010/3/17,1131.25
2010/3/18,1122.75
2010/3/19,1121.5
2010/3/22,1104.25
2010/3/23,1100.75
2010/3/24,1094
2010/3/25,1093.5
2010/3/26,1098
2010/3/29,1111.25
2010/3/30,1109.75
2010/3/31,1109.5
2010/4/1,1116
2010/4/6,1124
2010/4/7,1133.25
2010/4/8,1146.5
2010/4/9,1156
2010/4/12,1163.5
2010/4/13,1149.25
2010/4/14,1159
2010/4/15,1151.25
2010/4/16,1157
2010/4/19,1127.5
2010/4/20,1142.5
2010/4/21,1143.75
2010/4/22,1144.25
2010/4/23,1140
2010/4/26,1154
2010/4/27,1152.25
2010/4/28,1164.25
2010/4/29,1170
2010/4/30,1175.25
2010/5/4,1184.25
2010/5/5,1172
2010/5/6,1178
2010/5/7,1199.6
2010/5/10,1188.25
2010/5/11,1209
2010/5/12,1241.25
2010/5/13,1235
2010/5/14,1238.75
2010/5/17,1230.25
2010/5/18,1215
2010/5/19,1209.5
2010/5/20,1187.25
2010/5/21,1183.5
2010/5/24,1183.75
2010/5/25,1189.5
2010/5/26,1212.5
2010/5/27,1210.75
2010/5/28,1214
2010/6/1,1219.75
2010/6/2,1221
2010/6/3,1219.75
2010/6/4,1203.5
2010/6/7,1212.4
2010/6/8,1248
2010/6/9,1235
2010/6/10,1220
2010/6/11,1220.5
2010/6/14,1229.5
2010/6/15,1223
2010/6/16,1235.5
2010/6/17,1234.5
2010/6/18,1244
2010/6/21,1259.5
2010/6/22,1235.25
2010/6/23,1243
2010/6/24,1233.25
2010/6/25,1242.5
2010/6/28,1256
2010/6/29,1236
2010/6/30,1240.5
2010/7/1,1240
2010/7/2,1210.5
2010/7/5,1208.5
2010/7/6,1210.75
2010/7/7,1186
2010/7/8,1201.25
2010/7/9,1196.25
2010/7/12,1203.75
2010/7/13,1206.5
2010/7/14,1212.25
2010/7/15,1211.75
2010/7/16,1204.75
2010/7/19,1190.25
2010/7/20,1181.5
2010/7/21,1191.25
2010/7/22,1187
2010/7/23,1198.75
2010/7/26,1189
2010/7/27,1184
2010/7/28,1164
2010/7/29,1166
2010/7/30,1168
2010/8/2,1178
2010/8/3,1184
2010/8/4,1194.5
2010/8/5,1195.5
2010/8/6,1194.5
2010/8/9,1206
2010/8/10,1196.75
2010/8/11,1198
2010/8/12,1200
2010/8/13,1215
2010/8/16,1222
2010/8/17,1226.25
2010/8/18,1223
2010/8/19,1228
2010/8/20,1230.5
2010/8/23,1227
2010/8/24,1218
2010/8/25,1237.5
2010/8/26,1240.25
2010/8/27,1234.5
2010/8/31,1233.5
2010/9/1,1250
2010/9/2,1247.75
2010/9/3,1252
2010/9/6,1249.5
2010/9/7,1247.25
2010/9/8,1258
2010/9/9,1253.5
2010/9/10,1248.75
2010/9/13,1243
2010/9/14,1253.25
2010/9/15,1270.4
2010/9/16,1271.25
2010/9/17,1281.5
2010/9/20,1280.25
2010/9/21,1278.75
2010/9/22,1291.75
2010/9/23,1291.5
2010/9/24,1298
2010/9/27,1298.25
2010/9/28,1289
2010/9/29,1307.5
2010/9/30,1311
2010/10/1,1313
2010/10/4,1316
2010/10/5,1325.75
2010/10/6,1347
2010/10/7,1359.5
2010/10/8,1330.5
2010/10/11,1348.5
2010/10/12,1343.5
2010/10/13,1358.5
2010/10/14,1380.75
2010/10/15,1377.25
2010/10/18,1359.75
2010/10/19,1367.75
2010/10/20,1340.5
2010/10/21,1345.25
2010/10/22,1319
2010/10/25,1345
2010/10/26,1334
2010/10/27,1332.25
2010/10/28,1326.5
2010/10/29,1336.75
2010/11/1,1361.5
2010/11/2,1358
2010/11/3,1358.5
2010/11/4,1361
2010/11/5,1384.25
2010/11/8,1390
2010/11/9,1416.25
2010/11/10,1402
2010/11/11,1413
2010/11/12,1387
2010/11/15,1367
2010/11/16,1363.25
2010/11/17,1336.5
2010/11/18,1356.75
2010/11/19,1357.5
2010/11/22,1357.5
2010/11/23,1361
2010/11/24,1376.25
2010/11/25,1370.5
2010/11/26,1366.5
2010/11/29,1360
2010/11/30,1375
2010/12/1,1391.5
2010/12/2,1390
2010/12/3,1391.75
2010/12/6,1411.5
2010/12/7,1426
2010/12/8,1395
2010/12/9,1382
2010/12/10,1390
2010/12/13,1388.25
2010/12/14,1405
2010/12/15,1388.25
2010/12/16,1384
2010/12/17,1374.75
2010/12/20,1381
2010/12/21,1386
2010/12/22,1389
2010/12/23,1384
2010/12/24,1380.5
2010/12/29,1403.5
2010/12/30,1411.5
2010/12/31,1410.25
2011/1/4,1405.5
2011/1/5,1382.75
2011/1/6,1376
2011/1/7,1358
2011/1/10,1368.25
2011/1/11,1381
2011/1/12,1383.5
