Date,Price,Open,High,Low,Vol.,Change %
15-Nov-19,1446.80 ,"1,440.29","1,448.30","1,435.69",-,0.68%
14-Nov-19,1436.98 ,"1,438.67","1,448.54","1,425.44",-,-0.06%
13-Nov-19,1437.85 ,"1,443.19","1,443.19","1,430.91",-,-0.79%
12-Nov-19,1449.35 ,"1,461.37","1,471.19","1,447.83",-,-0.79%
11-Nov-19,1460.84 ,"1,464.32","1,466.12","1,455.79",-,-0.50%
8-Nov-19,1468.17 ,"1,486.56","1,486.56","1,457.39",-,-1.27%
7-Nov-19,1487.03 ,"1,468.60","1,487.82","1,463.29",-,1.06%
6-Nov-19,1471.38 ,"1,463.46","1,471.38","1,453.03",-,0.74%
5-Nov-19,1460.50 ,"1,463.31","1,473.74","1,454.98",-,0.35%
1-Nov-19,1455.44 ,"1,422.26","1,455.44","1,419.91",-,2.29%
31-Oct-19,1422.92 ,"1,439.21","1,451.26","1,417.49",-,-0.63%
30-Oct-19,1431.90 ,"1,419.81","1,437.01","1,416.43",-,0.55%
29-Oct-19,1424.05 ,"1,412.45","1,424.05","1,405.00",-,0.86%
28-Oct-19,1411.92 ,"1,420.31","1,432.26","1,408.97",-,-0.65%
25-Oct-19,1421.20 ,"1,414.15","1,423.14","1,402.56",-,0.54%
24-Oct-19,1413.63 ,"1,390.68","1,413.63","1,390.54",-,1.52%
23-Oct-19,1392.47 ,"1,382.83","1,392.47","1,377.96",-,0.35%
22-Oct-19,1387.68 ,"1,367.67","1,387.68","1,366.73",-,1.65%
21-Oct-19,1365.14 ,"1,363.43","1,369.06","1,358.17",-,0.73%
18-Oct-19,1355.27 ,"1,350.05","1,358.63","1,349.15",-,0.13%
17-Oct-19,1353.49 ,"1,349.24","1,356.29","1,346.76",-,0.45%
16-Oct-19,1347.43 ,"1,330.57","1,348.18","1,329.73",-,1.23%
15-Oct-19,1331.03 ,"1,321.24","1,331.78","1,318.35",-,0.75%
14-Oct-19,1321.13 ,"1,329.57","1,332.28","1,319.31",-,-0.64%
11-Oct-19,1329.63 ,"1,330.97","1,341.70","1,328.41",-,-0.10%
10-Oct-19,1330.92 ,"1,315.34","1,330.92","1,310.39",-,1.02%
9-Oct-19,1317.48 ,"1,306.81","1,321.83","1,306.26",-,0.85%
8-Oct-19,1306.39 ,"1,319.14","1,324.76","1,303.64",-,-1.05%
7-Oct-19,1320.25 ,"1,313.90","1,322.26","1,305.05",-,0.66%
4-Oct-19,1311.65 ,"1,309.73","1,319.88","1,309.15",-,0.36%
3-Oct-19,1307.01 ,"1,313.97","1,317.66","1,300.45",-,-0.51%
2-Oct-19,1313.75 ,"1,330.69","1,331.50","1,311.03",-,-1.17%
1-Oct-19,1329.37 ,"1,335.64","1,346.70","1,328.84",-,-0.34%
30-Sep-19,1333.91 ,"1,344.13","1,348.02","1,331.95",-,-1.02%
27-Sep-19,1347.72 ,"1,360.21","1,360.58","1,347.69",-,-0.87%
26-Sep-19,1359.59 ,"1,353.18","1,363.20","1,350.05",-,0.41%
25-Sep-19,1354.01 ,"1,353.39","1,354.01","1,340.19",-,-0.35%
24-Sep-19,1358.80 ,"1,374.41","1,379.42","1,355.88",-,-1.07%
23-Sep-19,1373.49 ,"1,374.36","1,375.32","1,363.69",-,-0.28%
20-Sep-19,1377.38 ,"1,376.21","1,379.41","1,368.43",-,-0.05%
19-Sep-19,1378.06 ,"1,382.32","1,386.99","1,373.15",-,-0.30%
18-Sep-19,1382.16 ,"1,379.67","1,382.47","1,375.20",-,0.05%
17-Sep-19,1381.50 ,"1,393.30","1,399.36","1,374.40",-,-1.05%
16-Sep-19,1396.09 ,"1,376.21","1,396.25","1,375.57",-,1.98%
13-Sep-19,1368.93 ,"1,360.97","1,370.77","1,359.46",-,0.58%
12-Sep-19,1361.05 ,"1,354.56","1,364.76","1,349.59",-,0.47%
11-Sep-19,1354.68 ,"1,342.55","1,358.67","1,339.11",-,0.80%
10-Sep-19,1343.95 ,"1,338.65","1,343.95","1,330.38",-,0.28%
9-Sep-19,1340.14 ,"1,343.16","1,349.90","1,336.73",-,-0.03%
6-Sep-19,1340.52 ,"1,334.57","1,342.50","1,328.02",-,0.19%
5-Sep-19,1337.92 ,"1,332.36","1,344.75","1,332.36",-,0.54%
4-Sep-19,1330.77 ,"1,315.10","1,332.73","1,315.10",-,2.09%
3-Sep-19,1303.49 ,"1,306.76","1,307.28","1,297.74",-,-0.44%
2-Sep-19,1309.22 ,"1,293.90","1,310.63","1,292.86",-,1.23%
30-Aug-19,1293.32 ,"1,285.55","1,297.68","1,284.85",-,0.65%
29-Aug-19,1284.94 ,"1,264.18","1,284.94","1,261.97",-,1.44%
28-Aug-19,1266.71 ,"1,260.45","1,267.41","1,250.87",-,0.64%
27-Aug-19,1258.60 ,"1,268.86","1,269.98","1,248.32",-,-0.76%
26-Aug-19,1268.25 ,"1,265.40","1,276.24","1,260.45",-,-0.02%
