date, value
2009/11/16,78.9
2009/11/17,79.256
2009/11/18,79.788
2009/11/19,77.814
2009/11/20,77.32
2009/11/23,77.56
2009/11/24,76.02
2009/11/25,77.96
2009/11/27,76.05
2009/11/30,77.28
2009/12/1,78.37
2009/12/2,76.6
2009/12/3,76.46
2009/12/4,75.47
2009/12/7,73.93
2009/12/8,72.62
2009/12/9,70.67
2009/12/10,70.54
2009/12/11,69.87
2009/12/14,69.51
2009/12/15,70.69
2009/12/16,72.66
2009/12/17,72.936
2009/12/18,73.784
2009/12/21,73.22
2009/12/22,74.03
2009/12/23,76.67
2009/12/24,78.05
2009/12/28,78.77
2009/12/29,78.87
2009/12/30,79.28
2009/12/31,79.36
2010/1/4,81.51
2010/1/5,81.77
2010/1/6,83.18
2010/1/7,82.66
2010/1/8,82.75
2010/1/11,82.52
2010/1/12,80.79
2010/1/13,79.65
2010/1/14,79.488
2010/1/15,78.148
2010/1/19,79.2
2010/1/20,77.716
2010/1/21,76.08
2010/1/22,74.54
2010/1/25,75.26
2010/1/26,74.71
2010/1/27,73.67
2010/1/28,73.64
2010/1/29,72.89
2010/2/1,74.43
2010/2/2,77.23
2010/2/3,76.98
2010/2/4,73.14
2010/2/5,71.19
2010/2/8,71.89
2010/2/9,73.75
2010/2/10,74.52
2010/2/11,75.28
2010/2/12,74.13
2010/2/16,77.01
2010/2/17,77.41
2010/2/18,79.204
2010/2/19,79.96
2010/2/22,80.28
2010/2/23,78.86
2010/2/24,80
2010/2/25,78.17
2010/2/26,79.66
2010/3/1,78.7
2010/3/2,79.68
2010/3/3,80.87
2010/3/4,80.21
2010/3/5,81.5
2010/3/8,81.87
2010/3/9,81.49
2010/3/10,82.09
2010/3/11,82.11
2010/3/12,81.24
2010/3/15,79.8
2010/3/16,81.7
2010/3/17,82.986
2010/3/18,82.336
2010/3/19,80.854
2010/3/22,81.53
2010/3/23,81.91
2010/3/24,80.61
2010/3/25,80.53
2010/3/26,80
2010/3/29,82.17
2010/3/30,82.37
2010/3/31,83.76
2010/4/1,84.87
2010/4/5,86.62
2010/4/6,86.84
2010/4/7,85.88
2010/4/8,85.39
2010/4/9,84.92
2010/4/12,84.34
2010/4/13,84.05
2010/4/14,85.84
2010/4/15,85.758
2010/4/16,83.812
2010/4/19,82.458
2010/4/20,83.77
2010/4/21,83.68
2010/4/22,83.7
2010/4/23,85.12
2010/4/26,84.2
2010/4/27,82.44
2010/4/28,83.22
2010/4/29,85.17
2010/4/30,86.15
2010/5/3,86.19
2010/5/4,82.74
2010/5/5,79.97
2010/5/6,77.11
2010/5/7,75.11
2010/5/10,76.8
2010/5/11,76.37
2010/5/12,75.65
2010/5/13,74.4
2010/5/14,71.61
2010/5/17,70.708
2010/5/18,70.726
2010/5/19,71.436
2010/5/20,70.242
2010/5/21,70.04
2010/5/24,70.21
2010/5/25,68.75
2010/5/26,71.51
2010/5/27,74.55
2010/5/28,73.97
2010/6/1,72.58
2010/6/2,72.86
2010/6/3,74.61
2010/6/4,71.51
2010/6/7,71.44
2010/6/8,71.99
2010/6/9,74.38
2010/6/10,75.48
2010/6/11,73.78
2010/6/14,75.12
2010/6/15,76.94
2010/6/16,77.67
2010/6/17,77.04
2010/6/18,77.612
2010/6/21,78.294
2010/6/22,77.722
2010/6/23,76.35
2010/6/24,76.51
2010/6/25,78.86
2010/6/28,78.25
2010/6/29,75.94
2010/6/30,75.63
2010/7/1,72.95
2010/7/2,72.14
2010/7/6,71.98
2010/7/7,74.07
2010/7/8,75.44
2010/7/9,76.09
2010/7/12,74.95
2010/7/13,77.15
2010/7/14,77.04
2010/7/15,76.698
2010/7/16,76.158
2010/7/19,76.756
2010/7/20,77.552
2010/7/21,76.56
2010/7/22,79.3
2010/7/23,78.98
2010/7/26,78.98
2010/7/27,77.5
2010/7/28,76.99
2010/7/29,78.36
2010/7/30,78.95
2010/8/2,81.34
2010/8/3,82.55
2010/8/4,82.47
2010/8/5,82.01
2010/8/6,80.7
2010/8/9,81.48
2010/8/10,80.25
2010/8/11,78.02
2010/8/12,75.74
2010/8/13,75.39
2010/8/16,75.24
2010/8/17,75.848
2010/8/18,75.564
2010/8/19,74.634
2010/8/20,73.748
2010/8/23,73.1
2010/8/24,71.63
2010/8/25,72.52
2010/8/26,73.36
2010/8/27,75.17
2010/8/30,74.7
2010/8/31,71.92
2010/9/1,73.91
2010/9/2,75.02
2010/9/3,74.6
2010/9/7,74.09
2010/9/8,74.67
2010/9/9,74.25
2010/9/10,76.45
2010/9/13,77.19
2010/9/14,76.8
2010/9/15,76.02
2010/9/16,74.57
2010/9/17,73.912
2010/9/20,75.392
2010/9/21,74.39
2010/9/22,74.408
2010/9/23,75.18
2010/9/24,76.49
2010/9/27,76.52
2010/9/28,76.18
2010/9/29,77.86
2010/9/30,79.97
2010/10/1,81.58
2010/10/4,81.47
2010/10/5,82.82
2010/10/6,83.23
2010/10/7,81.67
2010/10/8,82.66
2010/10/11,82.21
2010/10/12,81.67
2010/10/13,83.01
2010/10/14,82.69
2010/10/15,81.386
2010/10/18,83.368
2010/10/19,79.892
2010/10/20,82.386
2010/10/21,80.56
2010/10/22,81.69
2010/10/25,82.52
2010/10/26,82.55
2010/10/27,81.94
2010/10/28,82.18
2010/10/29,81.43
2010/11/1,82.95
2010/11/2,83.9
2010/11/3,84.69
2010/11/4,86.49
2010/11/5,86.85
2010/11/8,87.06
2010/11/9,86.72
2010/11/10,87.81
2010/11/11,87.81
2010/11/12,84.88
2010/11/15,84.86
2010/11/16,82.44
2010/11/17,80.68
2010/11/18,82.192
2010/11/19,81.886
2010/11/22,81.74
2010/11/23,81.25
2010/11/24,83.86
2010/11/26,83.76
2010/11/29,85.73
2010/11/30,84.11
2010/12/1,86.75
2010/12/2,88
2010/12/3,89.19
2010/12/6,89.38
2010/12/7,88.69
2010/12/8,88.28
2010/12/9,88.37
2010/12/10,87.79
2010/12/13,88.61
2010/12/14,88.28
2010/12/15,88.62
2010/12/16,87.84
2010/12/17,88.252
2010/12/20,89.146
2010/12/21,89.596
2010/12/22,90.48
2010/12/23,91.51
2010/12/27,91
2010/12/28,91.49
2010/12/29,91.12
2010/12/30,89.84
2010/12/31,91.38
2011/1/3,91.55
2011/1/4,89.38
2011/1/5,90.3
2011/1/6,88.38
2011/1/7,88.03
2011/1/10,89.25
2011/1/11,91.11
2011/1/12,91.86
2011/1/13,91.4
2011/1/14,91.746
2011/1/18,91.752
2011/1/19,91.43
2011/1/20,89.444
2011/1/21,89.11
2011/1/24,87.87
2011/1/25,86.19
2011/1/26,87.33
2011/1/27,85.64
2011/1/28,89.34
2011/1/31,92.19
2011/2/1,90.77
2011/2/2,90.86
2011/2/3,90.54
2011/2/4,89.03
2011/2/7,87.48
2011/2/8,86.94
2011/2/9,86.71
2011/2/10,86.73
2011/2/11,85.58
2011/2/14,84.81
2011/2/15,84.32
2011/2/16,85.56
2011/2/17,87.352
2011/2/18,88.306
2011/2/22,95.05
2011/2/23,98.1
2011/2/24,97.28
2011/2/25,97.88
2011/2/28,96.97
